# тут собственно файл вашего тестового боя, творите
252100047973 -> INN_FL+
252100047972 -> INN_FL-
7707083893 -> ~? INN_UL+
7707083892 -> ~? INN_UL-
6508532353 -> ~? PASSPORT_RF+
6523532353 -> ~? PASSPORT_RF-
A123AA96 -> ~? GRZ+:А123АА96
B123BB96 -> ~? GRZ+:В123ВВ96
E123EE96 -> ~? GRZ+:Е123ЕЕ96
K123KK96 -> ~? GRZ+:К123КК96
M123MM96 -> ~? GRZ+:М123ММ96
H123HH96 -> ~? GRZ+:Н123НН96
O123OO96 -> ~? GRZ+:О123ОО96
P123PP96 -> ~? GRZ+:Р123РР96
C123CC96 -> ~? GRZ+:С123СС96
T123TT96 -> ~? GRZ+:Т123ТТ96
Y123YY96 -> ~? GRZ+:У123УУ96
X123XX96 -> ~? GRZ+:Х123ХХ96
1035006110083 -> ~? OGRN+
1035006110084 -> ~? OGRN-
304500116000157 -> ~? OGRNIP+
304500116000158 -> ~? OGRNIP-
001-001-345 01 -> SNILS+
001-001-345 02 -> SNILS+
001-001-346 03 -> SNILS+
001-002-346 03 -> SNILS-
114 765 443 59 -> SNILS+
114 765 443 58 -> SNILS-
046 860 694 91 -> SNILS+
046 860 694 92 -> SNILS-
